Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.,Total Strike Landed R4  Disp.,Total Strike Missed R4  Disp.,Non-Sig. Strike Landed R4  Disp.,Non-Sig. Strike Missed R4  Disp.,Sig. Strike Landed R4  Disp.,Sig. Strike Missed R4  Disp.,Head R4  Disp.,Body R4  Disp.,Leg R4  Disp.,Distance R4  Disp.,Clinch R4  Disp.,Ground R4  Disp.,Knockdowns R4  Disp.,TD Completed R4  Disp.,TD Missed R4  Disp.,Sub. Att R4  Disp.,Rev. R4  Disp.,Ctrl Time (Minutes) R4  Disp.,Total Strike Landed R5  Disp.,Total Strike Missed R5  Disp.,Non-Sig. Strike Landed R5  Disp.,Non-Sig. Strike Missed R5  Disp.,Sig. Strike Landed R5  Disp.,Sig. Strike Missed R5  Disp.,Head R5  Disp.,Body R5  Disp.,Leg R5  Disp.,Distance R5  Disp.,Clinch R5  Disp.,Ground R5  Disp.,Knockdowns R5  Disp.,TD Completed R5  Disp.,TD Missed R5  Disp.,Sub. Att R5  Disp.,Rev. R5  Disp.,Ctrl Time (Minutes) R5  Disp.
Joaquin Buckley,Alessio Di Chirico,0,1,KO/TKO,1,2:12,3 Rnd (5-5-5),Keith Peterson,Kick to Head At Distance,Middleweight Bout,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/16/21,1,-9,8,0,0,-9,8,-4,-3,-2,-6,0,-3,-1,0,0,0,0,-0.016666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punahele Soriano,Dusko Todorovic,1,0,KO/TKO,1,4:48,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Middleweight Bout,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/16/21,1,9,1,1,0,8,1,10,-3,1,3,0,5,2,0,1,0,0,0.566666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu Yanan,Joselyne Edwards,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Lukasz Bosacki 27 - 30. Anders Ohlsson 27 - 30. Ben Cartlidge 28 - 29.,Women's Bantamweight Bout,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/16/21,3,-9,0,-6,1,-3,-1,-9,3,3,0,-1,-2,0,1,0,-1,0,2.933333333,-18,-8,-5,0,-13,-8,-12,1,-2,-4,-2,-7,0,0,0,0,0,-0.266666667,-14,-9,0,1,-14,-10,11,-13,-12,-17,3,0,0,0,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Felipe,Justin Tafa,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Lukasz Bosacki 28 - 29. Anders Ohlsson 29 - 28. Paul Sutherland 28 - 29.,Heavyweight Bout,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/16/21,3,-17,-1,0,0,-17,-1,-4,-4,-9,-17,0,0,0,0,0,0,0,0,1,7,0,0,1,7,-1,5,-3,-4,5,0,0,0,1,0,0,0.683333333,-16,-3,-23,0,7,-3,1,7,-1,11,-4,0,0,0,-2,0,0,-1.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Zawada,Ramazan Emeev,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 28 - 29. Mike Bell 29 - 28. David Lethaby 28 - 29.,Welterweight Bout,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/16/21,3,2,6,6,0,-4,6,-5,-3,4,-1,-1,-2,0,-2,-1,0,0,-1.216666667,2,9,3,-2,-1,11,-3,-3,5,-1,0,0,0,-1,-3,0,0,-1.45,9,2,13,-3,-4,5,-4,-1,1,-4,2,-2,0,0,-1,0,-1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Moras,Vanessa Melo,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Lukasz Bosacki 27 - 30. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.,Women's Bantamweight Bout,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/16/21,3,-6,14,0,0,-6,14,-10,-3,7,-6,0,0,0,0,0,0,0,0,-5,6,0,0,-5,6,-9,0,4,-5,0,0,0,0,1,0,0,-0.066666667,-1,23,0,0,-1,23,-12,1,10,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Kilburn,Austin Lingo,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,David Lethaby 26 - 30. Paul Sutherland 26 - 30. Ben Cartlidge 27 - 30.,Featherweight Bout,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1/16/21,3,-24,14,-1,0,-23,14,-24,2,-1,-22,-1,0,-1,0,6,0,0,0.233333333,-3,17,4,0,-7,17,-6,-3,2,-8,1,0,0,0,4,0,0,-0.666666667,-5,20,-4,1,-1,19,-4,-1,4,-3,1,1,0,0,6,1,0,-2.216666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Thompson,Geoff Neal,1,0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Derek Cleary 45 - 50. Sal D'amato 45 - 50. Junichiro Kamijo 45 - 50.,Welterweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,5,18,18,0,0,18,18,9,7,2,18,0,0,0,0,0,0,0,0,14,29,-1,-1,15,30,9,8,-2,16,-1,0,0,0,0,0,0,-0.5,16,30,-2,1,18,29,14,4,0,16,2,0,0,0,0,0,0,-1.533333333,-19,-26,-4,-1,-15,-25,-15,2,-2,-16,1,0,0,0,0,0,0,0,16,40,0,1,16,39,9,6,1,17,-1,0,0,0,0,0,0,-0.666666667
Jose Aldo,Marlon Vera,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Mike Bell 28 - 29. Eric Colon 28 - 29. Ron McCarthy 28 - 29.,Bantamweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,3,-1,-3,-4,0,3,-3,5,8,-10,3,0,0,0,0,-1,0,0,-1.366666667,-14,-9,-10,-2,-4,-7,4,2,-10,-1,-3,0,0,0,-2,0,0,-1.416666667,-17,-3,-16,-3,-1,0,0,0,-1,0,-1,0,0,0,2,0,0,4.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Pereira,Khaos Williams,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Eric Colon 28 - 29. Tony Weeks 28 - 29.,Welterweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,3,-1,-10,0,0,-1,-10,-1,6,-6,-2,1,0,0,0,0,0,0,0,-9,-15,-6,0,-3,-15,0,6,-9,-3,0,0,0,0,0,1,0,-0.3,4,-9,11,3,-7,-12,2,-1,-8,-10,1,2,0,2,0,0,0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Moraes,Rob Font,0,1,KO/TKO,1,3:47,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,Bantamweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,1,-21,-4,0,0,-21,-4,-19,-2,0,-5,-1,-15,-1,2,1,0,-1,1.883333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Tybura,Greg Hardy,1,0,KO/TKO,2,4:31,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Half Guard,Heavyweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,2,-22,-4,0,0,-22,-4,-15,-2,-5,-19,-3,0,0,0,1,0,0,0,32,14,9,1,23,13,20,0,3,6,-1,18,0,1,2,0,0,1.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Pettis,Alex Morono,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 28 - 29. Eric Colon 28 - 29. Ron McCarthy 28 - 29.,Welterweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,3,-9,-8,-4,-3,-5,-5,-7,0,2,0,0,-5,0,-1,-1,0,1,-1.983333333,15,-10,0,0,15,-10,4,4,7,14,1,0,0,0,0,0,0,0.05,24,1,15,3,9,-2,7,1,1,8,0,1,0,0,-2,0,0,3.966666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sijara Eubanks,Pannie Kianzad,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 28 - 29. Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29.,Women's Bantamweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,3,11,1,7,2,4,-1,3,1,0,-1,0,5,0,1,0,0,0,4.383333333,-42,-5,-22,0,-20,-5,-9,-10,-1,-4,-17,1,0,1,0,0,0,0.433333333,-31,10,-4,0,-27,10,-8,-8,-11,-22,-5,0,0,0,0,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deron Winn,Antonio Arroyo,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 28 - 29. Sal D'amato 28 - 29. Tony Weeks 28 - 29.,Catch Weight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,3,-24,2,-7,0,-17,2,-15,-2,0,-16,0,-1,0,4,2,0,0,1.883333333,16,4,19,3,-3,1,-2,-2,1,-5,2,0,0,4,2,0,0,3.683333333,2,2,7,4,-5,-2,-2,-2,-1,-4,0,-1,0,4,0,0,0,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillian Robertson,Taila Santos,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee 26 - 30. Derek Cleary 26 - 30. Dave Hagen 28 - 29.,Women's Flyweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,3,3,1,3,0,0,1,-1,0,1,1,0,-1,0,0,0,0,0,-4.333333333,-12,1,-1,-1,-11,2,-7,-1,-3,-2,-1,-8,0,-1,1,-1,0,-3.25,-21,-9,-14,-1,-7,-8,-6,-1,0,1,0,-8,0,0,1,1,0,-4.183333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tafon Nchukwi,Jamie Pickett,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 25 - 30. Mike Bell 26 - 30. Chris Lee 26 - 30.,Middleweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,3,34,15,8,0,26,15,15,11,0,11,15,0,0,-1,0,0,0,-0.183333333,29,10,13,0,16,10,4,16,-4,-8,24,0,0,0,-2,0,0,0.883333333,56,9,18,8,38,1,23,14,1,17,17,4,1,0,1,0,0,1.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Flick,Cody Durden,1,0,Submission,1,3:18,3 Rnd (5-5-5),Jerin Valel,Flying Triangle,Flyweight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,1,-23,-5,-8,-2,-15,-3,-13,-3,1,-11,-2,-2,0,-2,1,1,0,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christos Giagos,Carlton Minus,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 26 - 30. Dave Hagen 27 - 29. Junichiro Kamijo 28 - 29.,Catch Weight Bout,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",12/19/20,3,24,6,13,5,11,1,11,0,0,1,0,10,0,3,0,0,0,3.666666667,27,2,28,4,-1,-2,1,1,-3,-4,0,3,0,1,1,0,0,3.566666667,-4,-12,3,3,-7,-15,-7,-2,2,-8,1,0,0,1,9,0,0,1.716666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deiveson Figueiredo,Brandon Moreno,1,0,Decision - Majority,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Derek Cleary 46 - 48. Sal D'amato 47 - 47. Junichiro Kamijo 47 - 47.,UFC Flyweight Title Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,5,1,0,1,0,0,0,-8,6,2,-2,2,0,0,0,-1,0,0,-0.133333333,7,1,4,0,3,1,-4,1,6,1,0,2,0,-2,0,0,0,-0.483333333,-4,-5,0,0,-4,-5,-9,5,0,-3,-1,0,0,1,-2,0,0,0.133333333,27,2,5,0,22,2,17,6,-1,23,1,-2,0,-1,1,0,0,-0.166666667,4,-1,-4,0,8,-1,4,3,1,4,0,4,0,1,0,0,0,-0.333333333
Tony Ferguson,Charles Oliveira,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 26 - 30. Eric Colon 26 - 30. Ron McCarthy 26 - 30.,Lightweight Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,3,-17,3,-12,-3,-5,6,-5,1,-1,2,0,-7,0,-1,0,-2,0,-3.583333333,-23,-3,-17,0,-6,-3,-1,-2,-3,-2,1,-5,0,-1,0,0,0,-4.083333333,-20,-3,-9,-1,-11,-2,-6,-3,-2,-2,0,-9,0,-1,0,-1,0,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie Dern,Virna Jandiroba,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 28 - 29. Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29.,Women's Strawweight Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,3,9,23,0,-1,9,24,4,2,3,7,2,0,0,0,1,0,0,0.9,1,6,-4,0,5,6,3,-2,4,6,-1,0,0,-1,1,0,0,-1.766666667,11,-7,6,2,5,-9,4,1,0,6,-2,1,0,0,3,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Holland,Jacare Souza,1,0,KO/TKO,1,1:45,3 Rnd (5-5-5),Mark Smith,Punch to Head From Bottom,Middleweight Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,1,19,3,6,0,13,3,12,0,1,1,2,10,0,-2,-1,0,0,-1.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Dos Santos,Ciryl Gane,0,1,KO/TKO,2,2:34,3 Rnd (5-5-5),Jerin Valel,Elbow to Head In Clinch,Heavyweight Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,2,-28,4,0,0,-28,4,-2,-9,-17,-27,-1,0,0,0,1,0,0,-0.2,-22,0,-1,0,-21,0,-5,-5,-11,-16,-3,-2,-1,0,0,0,0,-0.216666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cub Swanson,Daniel Pineda,1,0,KO/TKO,2,1:52,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Featherweight Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,2,-1,1,-16,-1,15,2,17,2,-4,9,1,5,1,0,0,-1,0,1.383333333,12,-6,2,0,10,-6,9,2,-1,9,0,1,1,0,-1,0,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato Moicano,Rafael Fiziev,0,1,KO/TKO,1,4:05,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Lightweight Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,1,-6,8,0,0,-6,8,3,-4,-5,-6,1,-1,-1,0,0,0,0,-0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Tucker,Billy Quarantillo,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Dave Hagen 27 - 30. Chris Lee 27 - 30. Ron McCarthy 27 - 30.,Featherweight Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,3,-1,-11,-6,0,5,-11,-1,5,1,-2,7,0,0,2,0,0,0,0.733333333,15,-8,0,0,15,-8,19,-4,0,11,2,2,0,1,1,0,0,1.25,-27,-18,-29,-3,2,-15,5,-3,0,7,-6,1,0,4,2,0,0,2.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tecia Pennington,Sam Hughes,1,0,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Jason Herzog,Eye Injury,Women's Strawweight Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,1,26,18,-6,0,32,18,18,11,3,31,1,0,0,1,-1,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Hooper,Peter Barrett,1,0,Submission,3,3:02,3 Rnd (5-5-5),Chris Tognoni,Heel Hook On Ground,Featherweight Bout,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",12/12/20,3,-10,11,-12,0,2,11,-8,2,8,2,0,0,0,0,3,1,0,0.6,1,10,0,0,1,10,6,-3,-2,1,0,0,0,0,2,0,0,-0.85,29,3,23,3,6,0,3,2,1,4,0,2,0,0,1,1,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hermansson,Marvin Vettori,0,1,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 46 - 49. Sal D'amato 46 - 49. Junichiro Kamijo 45 - 49.,Middleweight Bout,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",12/5/20,5,-41,-3,-34,-1,-7,-2,-10,-2,5,-3,1,-5,-1,0,0,-1,0,-2.483333333,6,7,3,-1,3,8,0,2,1,5,1,-3,0,2,2,0,-1,-2,12,15,6,-1,6,16,1,2,3,6,0,0,0,0,3,0,0,0,-3,7,-5,-2,2,9,6,-4,0,0,2,0,0,0,0,0,0,0,-20,11,4,1,-24,10,-30,3,3,-24,0,0,0,0,-1,0,0,-0.833333333
Ovince Saint Preux,Jamahal Hill,0,1,KO/TKO,2,3:37,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance,Light Heavyweight Bout,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",12/5/20,2,-5,-4,1,0,-6,-4,-5,-7,6,-6,0,0,0,0,0,0,0,-0.15,-26,-20,0,0,-26,-20,-27,-2,3,-21,-5,0,0,0,0,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Benitez,Justin Jaynes,1,0,KO/TKO,1,4:06,3 Rnd (5-5-5),Mark Smith,Knee to Body At Distance,Lightweight Bout,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",12/5/20,1,16,36,0,0,16,36,4,4,8,12,0,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Dolidze,John Allan,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Lee 29 - 28. Dave Hagen 27 - 30. Mike Bell 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",12/5/20,3,-6,-4,-3,-7,-3,3,-1,-1,-1,-4,1,0,0,1,0,3,0,2.083333333,39,14,34,16,5,-2,3,3,-1,2,0,3,0,1,0,0,0,3.5,37,8,17,8,20,0,14,8,-2,21,-1,0,0,0,2,0,0,1.433333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Wiman,Jordan Leavitt,0,1,KO/TKO,1,0:22,3 Rnd (5-5-5),Chris Tognoni,Slam to   On Ground,Lightweight Bout,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",12/5/20,1,-1,2,0,0,-1,2,0,-1,0,-1,0,0,0,-1,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Smolka,Jose Quinonez,1,0,KO/TKO,2,2:15,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Back Control,Bantamweight Bout,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",12/5/20,2,3,-14,-2,0,5,-14,10,5,-10,1,6,-2,0,1,1,0,0,0.333333333,14,12,3,5,11,7,12,1,-2,-4,3,12,0,0,-1,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilia Topuria,Damon Jackson,1,0,KO/TKO,1,2:38,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Featherweight Bout,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",12/5/20,1,15,-4,0,0,15,-4,2,13,0,15,-1,1,1,0,0,0,0,-0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gian Villante,Jake Collier,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 27 - 30. Eric Colon 27 - 30. Adalaide Byrd 27 - 30.,Heavyweight Bout,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",12/5/20,3,-21,-17,1,-2,-22,-15,-16,-1,-5,-21,-1,0,0,0,0,0,0,0,-9,-12,-1,0,-8,-12,-8,1,-1,-8,0,0,0,0,0,0,0,-0.033333333,-15,-5,-2,0,-13,-5,-6,-5,-2,-13,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Smith,Devin Clark,1,0,Submission,1,2:34,5 Rnd (5-5-5-5-5),Herb Dean,Triangle Choke From Bottom Guard,Light Heavyweight Bout,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",11/28/20,1,-23,1,-23,0,0,1,0,0,0,-1,0,1,0,1,0,1,-1,0.183333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Baeza,Takashi Sato,1,0,Submission,2,4:28,3 Rnd (5-5-5),Dan Miragliotta,Arm Triangle From Side Control,Welterweight Bout,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",11/28/20,2,11,-2,1,0,10,-2,0,8,2,7,3,0,0,0,0,0,0,0.083333333,17,-2,2,6,15,-8,6,8,1,10,0,5,0,1,1,1,0,1.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Parisian,Parker Porter,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon 26 - 30. Anthony Maness 27 - 30. Tony Weeks 28 - 29.,Heavyweight Bout,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",11/28/20,3,4,14,-6,1,10,13,5,8,-3,5,5,0,0,-1,-1,0,0,-1.133333333,-27,-5,-21,-8,-6,3,-7,5,-4,-6,1,-1,0,-1,0,-1,0,-3.2,-18,-6,-2,0,-16,-6,-17,6,-5,-15,-1,0,0,0,-1,0,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spike Carlyle,Bill Algeo,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30. Sal D'amato 27 - 30. Tony Weeks 27 - 30.,Featherweight Bout,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",11/28/20,3,-23,5,-7,2,-16,3,-8,-6,-2,-9,0,-7,0,2,1,1,-1,1.083333333,-38,-2,-29,-2,-9,0,-4,-6,1,-3,-3,-3,0,0,0,0,1,-2.1,-29,2,-7,0,-22,2,-18,-3,-1,-11,-10,-1,0,1,6,0,0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
